baixar;pais;liga_temporada;temporada;url
S;BRAZIL;BRAZIL 4;2025;https://www.flashscore.com/football/brazil/serie-d-2025/results/
S;BRAZIL;BRAZIL 4;2024;https://www.flashscore.com/football/brazil/serie-d-2024/results/
S;BRAZIL;BRAZIL 4;2023;https://www.flashscore.com/football/brazil/serie-d-2023/results/
S;BRAZIL;BRAZIL 4;2022;https://www.flashscore.com/football/brazil/serie-d-2022/results/
S;BRAZIL;BRAZIL 4;2021;https://www.flashscore.com/football/brazil/serie-d-2021/results/
S;ITALY;ITALY 3;2025/2026;https://www.flashscore.com/football/italy/serie-c-group-b-2025-2026/results/
S;ITALY;ITALY 3;2024/2025;https://www.flashscore.com/football/italy/serie-c-group-b-2024-2025/results/
S;ITALY;ITALY 3;2023/2024;https://www.flashscore.com/football/italy/serie-c-group-b-2023-2024/results/
S;ITALY;ITALY 3;2022/2023;https://www.flashscore.com/football/italy/serie-c-group-b-2022-2023/results/
S;ITALY;ITALY 3;2021/2022;https://www.flashscore.com/football/italy/serie-c-group-b-2021-2022/results/
S;ITALY;ITALY 3;2025/2026;https://www.flashscore.com/football/italy/serie-c-group-a-2025-2026/results/
S;ITALY;ITALY 3;2024/2025;https://www.flashscore.com/football/italy/serie-c-group-a-2024-2025/results/
S;ITALY;ITALY 3;2023/2024;https://www.flashscore.com/football/italy/serie-c-group-a-2023-2024/results/
S;ITALY;ITALY 3;2022/2023;https://www.flashscore.com/football/italy/serie-c-group-a-2022-2023/results/
S;ITALY;ITALY 3;2021/2022;https://www.flashscore.com/football/italy/serie-c-group-a-2021-2022/results/
S;ITALY;ITALY 3;2025/2026;https://www.flashscore.com/football/italy/serie-c-group-c-2025-2026/results/
S;ITALY;ITALY 3;2024/2025;https://www.flashscore.com/football/italy/serie-c-group-c-2024-2025/results/
S;ITALY;ITALY 3;2023/2024;https://www.flashscore.com/football/italy/serie-c-group-c-2023-2024/results/
S;ITALY;ITALY 3;2022/2023;https://www.flashscore.com/football/italy/serie-c-group-c-2022-2023/results/
S;ITALY;ITALY 3;2021/2022;https://www.flashscore.com/football/italy/serie-c-group-c-2021-2022/results/
S;ITALY;ITALY 3;2025/2026;https://www.flashscore.com/football/italy/serie-c-promotion-play-offs/results/
S;ITALY;ITALY 3;2024/2025;https://www.flashscore.com/football/italy/serie-c-promotion-play-offs-2024-2025/results/
S;ITALY;ITALY 3;2023/2024;https://www.flashscore.com/football/italy/serie-c-promotion-play-offs-2023-2024/results/
S;ITALY;ITALY 3;2022/2023;https://www.flashscore.com/football/italy/serie-c-promotion-play-offs-2022-2023/results/
S;ITALY;ITALY 3;2021/2022;https://www.flashscore.com/football/italy/serie-c-promotion-play-offs-2021-2022/results/
S;ITALY;ITALY 3;2025/2026;https://www.flashscore.com/football/italy/serie-c-play-out/results/
S;ITALY;ITALY 3;2024/2025;https://www.flashscore.com/football/italy/serie-c-play-out-2024-2025/results/
S;ITALY;ITALY 3;2023/2024;https://www.flashscore.com/football/italy/serie-c-play-out-2023-2024/results/
S;ITALY;ITALY 3;2022/2023;https://www.flashscore.com/football/italy/serie-c-play-out-2022-2023/results/
S;ITALY;ITALY 3;2021/2022;https://www.flashscore.com/football/italy/serie-c-play-out-2021-2022/results/
S;MALTA;MALTA 1;2026-2027;https://www.flashscore.com/football/malta/premier-league/results/
S;MALTA;MALTA 1;2025-2026;https://www.flashscore.com/football/malta/premier-league-2025-2026/results/
S;MALTA;MALTA 1;2024-2025;https://www.flashscore.com/football/malta/premier-league-2024-2025/results/
S;MALTA;MALTA 1;2023-2024;https://www.flashscore.com/football/malta/premier-league-2023-2024/results/
S;MALTA;MALTA 1;2022-2023;https://www.flashscore.com/football/malta/premier-league-2022-2023/results/
S;MALTA;MALTA 1;2021-2022;https://www.flashscore.com/football/malta/premier-league-2021-2022/results/
S;SPAIN;SPAIN 3;2025/2026;https://www.flashscore.com/football/spain/primera-rfef-group-1-2025-2026/results/
S;SPAIN;SPAIN 3;2024/2025;https://www.flashscore.com/football/spain/primera-rfef-group-1-2024-2025/results/
S;SPAIN;SPAIN 3;2023/2024;https://www.flashscore.com/football/spain/primera-rfef-group-1-2023-2024/results/
S;SPAIN;SPAIN 3;2022/2023;https://www.flashscore.com/football/spain/primera-rfef-group-1-2022-2023/results/
S;SPAIN;SPAIN 3;2021/2022;https://www.flashscore.com/football/spain/primera-rfef-group-1-2021-2022/results/
S;SPAIN;SPAIN 3;2025/2026;https://www.flashscore.com/football/spain/primera-rfef-group-2-2025-2026/results/
S;SPAIN;SPAIN 3;2024/2025;https://www.flashscore.com/football/spain/primera-rfef-group-2-2024-2025/results/
S;SPAIN;SPAIN 3;2023/2024;https://www.flashscore.com/football/spain/primera-rfef-group-2-2023-2024/results/
S;SPAIN;SPAIN 3;2022/2023;https://www.flashscore.com/football/spain/primera-rfef-group-2-2022-2023/results/
S;SPAIN;SPAIN 3;2021/2022;https://www.flashscore.com/football/spain/primera-rfef-group-2-2021-2022/results/
S;SPAIN;SPAIN 3;2024/2025;https://www.flashscore.com/football/spain/primera-rfef-play-offs/results/
S;SPAIN;SPAIN 3;2023/2024;https://www.flashscore.com/football/spain/primera-rfef-play-offs-2023-2024/results/
S;SPAIN;SPAIN 3;2022/2023;https://www.flashscore.com/football/spain/primera-rfef-play-offs-2022-2023/results/
S;SPAIN;SPAIN 3;2021/2022;https://www.flashscore.com/football/spain/primera-rfef-play-offs-2021-2022/results/
